id,name,description,website,global_phone
1,Accem,Organización dedicada a la atención de personas refugiadas e inmigrantes en España.,https://www.accem.es/,91 531 23 12
2,CEAR,"Comisión Española de Ayuda al Refugiado, defensa del derecho de asilo.",https://www.cearpv.org/,963 162 477
3,Cruz Roja Española,Institución humanitaria de carácter voluntario.,https://www2.cruzroja.es/,963802244
4,Cáritas Diocesana,Apoyo a necesidades básicas y exclusión social.,https://www.caritasvalencia.org/,963919205
5,Valencia Acoge,Asociación de solidaridad con las personas inmigrantes.,https://valencia-acoge.org/,963 66 01 68
6,Asociación Valenciana de Caridad,"una institución pionera en dar respuesta a las necesidades de las personas en situación de sin hogar. Una entidad valenciana sin ánimo de lucro, privada, independiente",https://casacaridad.com/sobre-casa-caridad/,963911726
7,Servicios Sociales Ayuntamiento,"Acercar el sistema a las personas, y garantizar a todos los ciudadanos y ciudadanas el derecho a la atención de sus necesidades y problemáticas.",https://www.valencia.es/cas/bienestar-social-integracion,900 92 75 67
