id,category,name
1,Alojamiento,Acogida temporal
2,Legal,Asistencia jurídica y extranjería
3,Empleo,Inserción laboral y formación
4,Salud,Atención psicológica y sanitaria
5,Comida,Alimentación y necesidades básicas
6,Infancia,Atención a menores
